0#.SPCY,0#.SP400,0#.SPX
VSCO.N,ILMN.OQ,JCI.N
AMSF.OQ,LNTH.OQ,FE.N
KELYA.OQ,SAIA.OQ,PNC.N
MPW.N,SWX.N,VZ.N
PDCO.OQ,SR.N,NEM.N
SONO.OQ,APPF.OQ,ROL.N
ABCB.N,FLS.N,KEY.N
GNL.N,TKR.N,GIS.N
MLAB.OQ,HWC.OQ,CMCSA.OQ
KW.N,AMH.N,VLTO.N
FULT.OQ,FHI.N,PFE.N
BFS.N,JHG.N,EIX.N
HSII.OQ,BLD.N,NWS.OQ
TPH.N,CXT.N,MU.OQ
CORT.OQ,SBRA.OQ,UPS.N
RWT.N,CGNX.OQ,SOLV.N
AEO.N,OLLI.OQ,TYL.N
NOG.N,DOCS.N,UNP.N
SM.N,BC.N,BAC.N
FDP.N,ASGN.N,KMX.N
PFBC.OQ,KNX.N,PARA.OQ
VTLE.N,RS.N,IP.N
SAFE.N,GME.N,MDT.N
RXO.N,HQY.OQ,MMM.N
EIG.N,BKH.N,CZR.OQ
ACIW.OQ,SMG.N,UBER.N
DEA.N,ALTR.OQ,INTU.OQ
NARI.OQ,BRKR.OQ,OKE.N
STRA.OQ,LSCC.OQ,ADP.OQ
MATW.OQ,IBKR.OQ,EQIX.OQ
NBHC.N,THC.N,CHD.N
LPG.N,R.N,MTD.N
SPSC.OQ,NEOG.OQ,KDP.OQ
HTLD.OQ,EXP.N,EBAY.OQ
HCI.N,ANF.N,PEG.N
ACLS.OQ,COLB.OQ,BIIB.OQ
FWRD.OQ,POR.N,CTSH.OQ
OTTR.OQ,FR.N,ALB.N
KWR.N,MASI.OQ,TRGP.N
SPNT.N,HLI.N,NCLH.N
HELE.OQ,GPK.N,PLTR.OQ
QDEL.OQ,TTC.N,UDR.N
POWL.OQ,PLNT.N,DGX.N
MARA.OQ,KRC.N,CBOE.Z
RCUS.N,IRT.N,HIG.N
PTEN.OQ,WSO.N,ACGL.OQ
EPC.N,SF.N,NDSN.OQ
SMP.N,FYBR.OQ,VRSK.OQ
GTES.N,LIVN.OQ,GEV.N
LQDT.OQ,NXST.OQ,AMT.N
TWI.N,TPX.N,PYPL.OQ
NATL.N,SRPT.OQ,CAG.N
PRG.N,CRUS.OQ,UHS.N
DFH.N,TMHC.N,TFX.N
CXW.N,LAD.N,SYF.N
AKR.N,NOV.N,WAT.N
CBU.N,LOPE.OQ,INCY.OQ
RUSHA.OQ,WSM.N,LRCX.OQ
KMT.N,IRDM.OQ,IDXX.OQ
AVA.N,PCTY.OQ,PPG.N
CERT.OQ,WCC.N,LKQ.OQ
DXC.N,CIEN.N,BG.N
FHB.OQ,EWBC.OQ,HES.N
SHO.N,BURL.N,EOG.N
CRGY.N,PEN.N,MAR.OQ
TDW.N,PK.N,TJX.N
SMTC.OQ,UGI.N,MNST.OQ
GIII.OQ,HAE.N,VMC.N
VICR.OQ,PSN.N,EW.N
LEG.N,CBT.N,ALL.N
THRM.OQ,MTG.N,BMY.N
BANC.N,DCI.N,VST.N
PHIN.N,SFM.OQ,APH.N
BRC.N,TEX.N,HON.OQ
KOP.N,CCK.N,GPC.N
TFIN.OQ,NWE.OQ,MHK.N
DORM.OQ,AA.N,MCHP.OQ
PLAY.OQ,DINO.N,CAT.N
EXPI.OQ,,PG.N
SAH.N,,ZTS.N
DGII.OQ,,STE.N
WERN.OQ,,TPL.N
SIG.N,,BKR.OQ
CHEF.OQ,,AFL.N
GEO.N,,PTC.OQ
HWKN.OQ,,FITB.OQ
LRN.N,,MSI.N
APAM.N,,XEL.OQ
ALK.N,,HSIC.OQ
LZB.N,,ITW.N
KTB.N,,WST.N
MHO.N,,DFS.N
MOGa.N,,APTV.N
IDCC.OQ,,MPC.N
WSFS.OQ,,PGR.N
SEDG.OQ,,ICE.N
CSGS.OQ,,KMB.N
CRC.N,,SWKS.OQ
FUN.N,,ABNB.OQ
NVRI.N,,EL.N
SXC.N,,TSLA.OQ
EPRT.N,,EXR.N
DXPE.OQ,,SPGI.N
SFBS.N,,KKR.N
GPRE.OQ,,ADBE.OQ
AIR.N,,ADSK.OQ
FLGT.OQ,,FOXA.OQ
NVEE.OQ,,TT.N
FL.N,,TSN.N
EVTC.N,,AKAM.OQ
ALGT.OQ,,LUV.N
AUB.N,,INVH.N
MSGS.N,,TSCO.OQ
ALKS.OQ,,AON.N
UCTT.OQ,,AMZN.OQ
JBT.N,,MS.N
MMI.N,,BRKb.N
MTH.N,,GOOG.OQ
HCC.N,,KR.N
VYX.N,,BKNG.OQ
CBRL.OQ,,STZ.N
OSIS.OQ,,WBD.OQ
OUT.N,,ABBV.N
MATV.N,,STLD.OQ
COHU.OQ,,MA.N
PUMP.N,,XOM.N
NPK.N,,SWK.N
MMSI.OQ,,FICO.N
SABR.OQ,,HRL.N
CVI.N,,INTC.OQ
MODG.N,,TRMB.OQ
LNC.N,,WBA.OQ
NAVI.OQ,,OMC.N
CRVL.OQ,,GLW.N
DVAX.OQ,,CRM.N
TRST.OQ,,SBUX.OQ
AOSL.OQ,,ATO.N
CALX.N,,ETR.N
NWN.N,,HAL.N
LKFN.OQ,,TFC.N
GBX.N,,TAP.N
NWL.OQ,,ABT.N
FCPT.N,,V.N
CURB.N,,YUM.N
HIMS.N,,LYV.N
AHCO.OQ,,CPB.OQ
HTZ.OQ,,JNPR.N
VECO.OQ,,EG.N
DEI.N,,FTNT.OQ
AESI.N,,DTE.N
ROIC.OQ,,HST.OQ
BLMN.OQ,,IRM.N
RES.N,,DOC.N
SLG.N,,FIS.N
WOLF.N,,DAL.N
BOX.N,,ROK.N
HAIN.OQ,,DOW.N
DNOW.N,,PPL.N
HLX.N,,NTRS.OQ
CRS.N,,ETN.N
IIIN.N,,CVX.N
JBSS.OQ,,CI.N
MYRG.OQ,,ACN.N
NWBI.OQ,,CRWD.OQ
SAFT.OQ,,PANW.OQ
REX.N,,XYL.N
VBTX.OQ,,HAS.OQ
TILE.OQ,,ENPH.OQ
VRE.N,,SO.N
IOSP.OQ,,CTLT.N
WGO.N,,EQT.N
MRTN.OQ,,NRG.N
MTX.N,,MKTX.OQ
HUBG.OQ,,LMT.N
FBP.N,,DLR.N
HRMY.OQ,,PSX.N
APOG.OQ,,SCHW.N
CNK.N,,SNPS.OQ
PRVA.OQ,,J.N
PTGX.OQ,,AVY.N
ADEA.OQ,,
HFWA.OQ,,
FBRT.N,,
SXT.N,,
VSAT.OQ,,
UFPT.OQ,,
MLKN.OQ,,
SWI.N,,
ALG.N,,
CCS.N,,
SITM.OQ,,
SDGR.OQ,,
MTUS.N,,
VRRM.OQ,,
ITRI.OQ,,
HLIT.OQ,,
AORT.N,,
LGND.OQ,,
EAT.N,,
HAFC.OQ,,
HTH.N,,
EYE.OQ,,
NBTB.OQ,,
DV.N,,
DRH.N,,
PENN.OQ,,
MSEX.OQ,,
SBCF.OQ,,
RC.N,,
USNA.N,,
LBRT.N,,
XPEL.OQ,,
MP.N,,
SXI.N,,
SITC.N,,
LESL.OQ,,
CSWI.OQ,,
LNN.N,,
UVV.N,,
VIRT.OQ,,
EPAC.N,,
PAHC.OQ,,
GOGO.OQ,,
TMP.A,,
ARR.N,,
COLL.OQ,,
FORM.OQ,,
WD.N,,
WDFC.OQ,,
CVBF.OQ,,
SLP.OQ,,
FTRE.OQ,,
VRTS.N,,
HAYW.N,,
QNST.OQ,,
KALU.OQ,,
SCHL.OQ,,
XNCR.OQ,,
CCOI.OQ,,
FIZZ.OQ,,
BTU.N,,
RUN.OQ,,
HSTM.OQ,,
GVA.N,,
TNDM.OQ,,
WAFD.OQ,,
XRX.OQ,,
EXTR.OQ,,
NGVT.N,,
PRLB.N,,
AZTA.OQ,,
FTDR.OQ,,
ALEX.N,,
CARG.OQ,,
GMS.N,,
ITGR.N,,
BMI.N,,
TGTX.OQ,,
OMI.N,,
GKOS.N,,
PARR.N,,
MATX.N,,
ABM.N,,
HZO.N,,
CNMD.N,,
BCPC.OQ,,
USPH.N,,
DY.N,,
LGIH.OQ,,
VFC.N,,
AWI.N,,
SHEN.OQ,,
ABG.N,,
NTCT.OQ,,
CHCO.OQ,,
HP.N,,
MCY.N,,
KSS.N,,
GSHD.OQ,,
